Movie_Title,Week1_Avg,Week2_Avg,Week3_Avg,Release_Date,URL
탑건: 매버릭,0.0,0.0,0.0,2023-11-22,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=탑건+매버릭+관람평
스즈메의 문단속,,,,2024-02-22,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=스즈메의+문단속+관람평
헌트,0.0,0.0,0.0,2024-04-24,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=헌트+관람평
올빼미,0.0,0.0,0.0,2022-12-14,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=올빼미+관람평
위시,0.0,0.0,0.0,2023-05-31,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=위시+관람평
드림,0.0,0.0,0.0,2022-06-22,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=드림+관람평
유령,0.0,0.0,0.0,2022-07-27,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=유령+관람평
인어공주,,,,2022-09-07,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=인어공주+관람평
플래시,0.0,0.0,0.0,2023-07-26,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=플래시+관람평
바비,,,,2023-12-20,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=바비+관람평
더 문,0.0,0.0,0.0,2022-08-10,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=더+문+관람평
리멤버,0.0,0.0,0.0,2023-05-03,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=리멤버+관람평
카운트,0.0,0.0,0.0,2023-07-12,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=카운트+관람평
에브리씽 에브리웨어 올 앳 원스,,,,2023-08-09,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=에브리씽+에브리웨어+올+앳+원스+관람평
도그데이즈,0.0,0.0,0.0,2024-01-31,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=도그데이즈+관람평
탄생,0.0,0.0,0.0,2022-11-23,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=탄생+관람평
거미집,,,,2022-12-21,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=거미집+관람평
크리에이터,0.0,0.0,0.0,2023-08-15,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=크리에이터+관람평
데드맨,0.0,0.0,0.0,2022-06-01,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=데드맨+관람평
소울메이트,0.0,0.0,0.0,2022-06-15,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=소울메이트+관람평
바빌론,0.0,0.0,0.0,2022-07-06,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=바빌론+관람평
플라워 킬링 문,0.0,0.0,0.0,2023-10-03,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=플라워+킬링+문+관람평
보호자,0.0,0.0,0.0,2022-11-09,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=보호자+관람평
스트레인지 월드,0.0,0.0,0.0,2022-08-03,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bkEw&pkid=68&os=26481291&qvt=0&query=%EC%98%81%ED%99%94%20%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%9D%B8%EC%A7%80%20%EC%9B%94%EB%93%9C%20%EA%B4%80%EB%9E%8C%ED%8F%89
에어,0.0,0.0,0.0,2024-02-28,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=에어+
스마일,0.0,0.0,0.0,2022-08-24
뉴 노멀,,,,2023-04-12
수라,0.0,0.0,0.0,2023-09-27
엔니오: 더 마에스트로,0.0,0.0,0.0,2022-06-29
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,0.0,0.0,0.0,2023-05-17
마이 샤이니 월드,0.0,0.0,0.0,2023-01-18
플로라 앤 썬,0.0,0.0,0.0,2024-01-24
큐어,0.0,0.0,0.0,2023-02-15
고속도로 가족,0.0,0.0,0.0,2022-07-20
언차티드,0.0,0.0,0.0,2023-09-06
수퍼 소닉2,0.0,0.0,0.0,2024-01-10
앵커,0.0,0.0,0.0,2023-08-15
웨스트 사이드 스토리,,,,2022-06-08
스텔라,0.0,0.0,0.0,2022-11-30
